bookID,title,authors,isbn,isbn13
17184,The Invisible Man,H.G. Wells,451528522,9780451528520
17185,The Invisible Man,H.G. Wells,812504674,9780812504675
17188,Invisible Man,Ralph Ellison,679723137,9780679723134
17189,The Invisible Man,H.G. Wells/Christopher Priest,014143998X,9780141439983
17202,To Sail Beyond the Sunset,Robert A. Heinlein,399132678,9780399132674
17204,The Friday Night Knitting Club (Friday Night Knitting Club  #1),Kate Jacobs,399154094,9780399154096
17206,Lady Friday (The Keys to the Kingdom  #5),Garth Nix,439700884,9780439700887
17208,Friday,Robert A. Heinlein,345414004,9780345414007
17214,Starship Troopers,Robert A. Heinlein,441783589,9780441783588
17215,Starship Troopers,Robert A. Heinlein,441014100,9780441014101
17216,Starship Troopers,Robert A. Heinlein,1568654308,9781568654300
17224,The Diamond Color Meditation: Color Pathway to the Soul,John  Diamond,1890995525,9781890995522
17228,Zodiac,Neal Stephenson/Jean-Pierre Pugi,2207252647,9782207252642
17230,Sirens and Sea Monsters (Tales from the Odyssey #3),Mary Pope Osborne/Homer/Troy Howell,786809302,9780786809301
17233,The Scarlet Letter,Nathaniel Hawthorne,1419542206,9781419542206
17236,Dracula,Bram Stoker/Jan Needle/Gary Blythe,744586534,9780744586534
17238,Dracula,Bram Stoker/Joseph Valente,743477367,9780743477369
17241,Dracula,Bram Stoker/Robert Whitfield,786180404,9780786180400
17243,The Bram Stoker Bedside Companion: 10 Stories by the Author of Dracula,Bram Stoker/Charles Osborne,800809637,9780800809638
17245,Dracula,Bram Stoker/Nina Auerbach/David J. Skal,393970124,9780393970128
17246,Macbeth,William Shakespeare/Paul Werstine/Barbara A. Mowat,743482794,9780743482790
17247,Macbeth (No Fear Shakespeare),William Shakespeare/SparkNotes/John Crowther,1586638467,9781586638467
17248,Death of a Dreamer (Hamish Macbeth  #22),M.C. Beaton,892967897,9780892967896
17250,The Crucible,Arthur  Miller/Christopher Bigsby,142437336,9780142437339
17252,Crucible of War: The Seven Years' War and the Fate of Empire in British North America  1754 - 1766,Fred Anderson,375706364,9780375706363
17253,Spock: The Fire and the Rose (Star Trek: Crucible  #2),David R. George III,743491696,9780743491693
17255,McCoy: The Provenance Of Shadows (Star Trek: Crucible  #1),David R. George III,743491688,9780743491686
17259,Kirk: The Star to Every Wandering (Star Trek: Crucible  #3),David R. George III,074349170X,9780743491709
17263,Mr Tompkins in Paperback (Canto),George Gamow/Roger Penrose,521447712,9780521447713
17265,Thirty Years that Shook Physics: The Story of Quantum Theory,George Gamow,048624895X,9780486248950
17267,The Great Divorce,C.S. Lewis,6280560,9790007672386
17271,The Metaphysics of Star Trek,Richard Hanley,465091245,9780465091249
17275,The Very Best of the Feynman Lectures,Richard P. Feynman,465099009,9780465099009
17276,The Feynman Lectures on Physics Vols 3-4,Richard P. Feynman,738209252,9780738209258
17277,The Feynman Lectures on Physics Vols 7-8,Richard P. Feynman,738209279,9780738209272
17279,The Feynman Lectures on Physics Vols 5-6,Richard P. Feynman,738202835,9780738202839
17280,The Feynman Lectures on Physics Vol 3,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,805390499,9780805390490
17289,Galactic Goodnight (Disney's Little Einsteins),Susan Ring/Kirk Albert Etienne,786849738,9780786849734
17290,What Einstein Told His Cook: Kitchen Science Explained,Robert L. Wolke/Marlene Parrish,393011836,9780393011838
17292,Mission: Where's June? (Disney's Little Einstein),Susan Ring/Kirk Albert Etienne/Kirk Etienne Albert/Michael James Luzzi,786855398,9780786855391
17293,Babies (Baby Einstein),Julie Aigner-Clark,786808381,9780786808380
17294,Butterfly Suits (Disney's Little Einsteins),Marcy Kelman/Nadeem Zaidi/Andy Mastrocinque,078685538X,9780786855384
17295,Birthday Machine (Disney's Little Einsteins Early Reader),Susan Ring/Anna Okabe,786849711,9780786849710
17296,Music of the Meadow (Little Einsteins Early Reader),Susan Ring/Kelly Preston/Katie Nix,786855371,9780786855377
17297,1912 Manuscript on the Special Theory of Relativity,Albert Einstein/Hanoch Gutfreund,807615323,9780807615324
17303,Piercing the Darkness (Darkness  #2),Frank E. Peretti,1581345275,9781581345278
17309,This Present Darkness (Darkness  #1),Frank E. Peretti,1581345283,9781581345285
17313,The Oath,Frank E. Peretti,1595540458,9781595540454
17315,Oath of Swords (War God  #1),David Weber,1416520864,9781416520863
17316,Oath of Gold (The Deed of Paksenarrion  #3),Elizabeth Moon,671697986,9780671697983
